ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,local_code,coordinates
49570,55114,102074,924,107303,107310,107574,125515,2782,2782,195085
49571,55116,102075,964,107303,107310,107568,135312,33462,33462,195086
49572,55113,102076,734,107303,107310,107586,135313,15931,15931,195087
49573,55114,102077,3507,107303,107310,107578,112071,6655,6655,195088
49574,55113,102078,1407,107303,107310,107568,125662,33478,33478,195089
49575,55113,102079,363,107303,107310,107591,110395,36108,36108,195090
49576,55113,102080,194,107303,107310,107558,111466,20341,20341,195091
49577,55113,102081,210,107303,107310,107578,124956,47592,47592,195092
49578,55114,102082,489,107303,107310,107559,115542,5310,5310,195093
49579,55114,102083,1305,107303,107310,107550,110763,7997,7997,195094
49580,55115,102084,954,107303,107310,107568,112554,111581,111581,195095
49581,55113,102085,255,107303,107310,107578,112129,47599,47599,195096
49582,55114,102086,1384,107303,107310,107550,110809,4,4,195097
49583,55114,102087,717,107303,107310,107563,135314,8924,8924,195098
49584,55115,102088,130,107303,107310,107551,111581,111581,111581,195099
49585,55115,102089,119,107303,107310,107551,111581,111581,111581,195100
49586,55115,102090,84,107303,107310,107551,111581,111581,111581,195101
49587,55113,102091,332,107303,107310,107578,111259,52740,52740,195102
49588,55113,102092,451,107303,107310,107552,135315,111581,111581,195103
49589,55113,102093,119,107303,107310,107552,110473,4160,4160,195104
49590,55113,102094,844,107303,107310,107552,124692,5214,5214,195105
49591,55113,102095,317,107303,107310,107551,115891,10509,10509,195106
49592,55113,102096,63,107303,107310,107551,110532,8674,8674,195107
49593,55113,102097,36,107303,107310,107551,111638,8997,8997,195108
49594,55113,102098,84,107303,107310,107551,111638,4146,4146,195109
49595,55113,59974,288,107303,107310,107553,116337,11423,11423,195110
49596,55113,102099,2840,107303,107310,107555,111505,12001,12001,195111
49597,55113,102100,1071,107303,107310,107555,110749,111581,145577,195112
49598,55113,102101,4293,107303,107310,107555,112292,11943,11943,195113
49599,55113,102102,3788,107303,107310,107592,113877,36394,36394,195114
49600,55113,102103,928,107303,107310,107579,115047,6638,6638,195115
49601,55113,102104,781,107303,107310,107583,110547,51985,51985,195116
49602,55114,102105,728,107303,107310,107563,110710,23984,23984,195117
49603,55114,102106,762,107303,107310,107563,111859,7855,7855,195118
49604,55114,102107,1580,107303,107310,107555,125344,11936,11936,195119
49605,55114,102108,1483,107303,107310,107556,135316,7848,7848,195120
49606,55114,102109,1093,107303,107310,107569,112957,34084,34084,195121
49607,55114,102110,521,107303,107310,107551,115771,5827,5827,195122
49608,55115,102111,504,107303,107310,107591,111315,111581,111581,195123
49609,55114,102112,1590,107303,107310,107579,110499,5635,5635,195124
49610,55114,102113,3783,107303,107310,107561,111849,23744,23744,195125
49611,55114,102114,110,107303,107310,107565,112683,1460,1460,195126
49612,55114,58190,734,107303,107310,107579,114712,5631,5631,195127
49613,55113,102115,202,107303,107310,107565,110494,32204,32204,195128
49614,55113,102116,89,107303,107310,107578,111180,47573,47573,195129
49615,55113,102117,3954,107303,107310,107580,124859,50251,50251,195130
49616,55113,102118,1023,107303,107310,107568,135317,4942,4942,195131
49617,55116,102119,34,107303,107310,107588,111065,32639,32639,195132
49618,55114,102120,84,107303,107310,107565,135318,3226,3226,195133
49619,55113,102121,961,107303,107310,107574,115000,7166,7166,195134
49620,55118,102122,2311,107303,107310,107597,113771,111581,145578,195135
49621,55113,102123,864,107303,107310,107575,115416,6086,6086,195136
49622,55114,102124,684,107303,107310,107563,135319,24011,24011,195137
49623,55114,102125,854,107303,107310,107563,135319,24004,24004,195138
49624,55113,102126,890,107303,107310,107562,112846,6362,6362,195139
49625,55114,102127,967,107303,107310,107554,124633,7831,7831,195140
49626,55113,102128,73,107303,107310,107558,113991,20267,20267,195141
49627,55114,102129,858,107303,107310,107563,113220,23982,23982,195142
49628,55114,60430,655,107303,107310,107563,135320,8245,8245,195143
49629,55114,102130,607,107303,107310,107578,111275,47648,47648,195144
49630,55114,102131,79,107303,107310,107565,114041,7734,7734,195145
49631,55113,102132,628,107303,107310,107591,125053,138620,138620,195146
49632,55114,102133,3334,107303,107310,107578,135321,47625,47625,195147
49633,55113,102134,654,107303,107310,107567,110912,33176,33176,195148
49634,55113,62366,234,107303,107310,107594,110739,2090,2090,195149
49635,55113,102135,3245,107303,107310,107570,113816,34011,34011,195150
49636,55114,102136,1818,107303,107310,107577,135322,41682,41682,195151
49637,55114,102137,55,107303,107310,107565,110791,2407,2407,195152
49638,55114,102138,673,107303,107310,107567,135323,111581,145579,195153
49639,55114,102139,1336,107303,107310,107554,111362,8616,8616,195154
49640,55113,102140,651,107303,107310,107562,123978,24188,24188,195155
49641,55113,102141,794,107303,107310,107567,115591,2060,2060,195156
49642,55114,102142,1134,107303,107310,107581,135324,50695,50695,195157
49643,55113,102143,934,107303,107310,107567,112472,33226,33226,195158
49644,55113,102144,522,107303,107310,107563,117429,23978,23978,195159
49645,55113,102145,1102,107303,107310,107579,110395,138621,138621,195160
49646,55114,102146,2885,107303,107310,107570,112610,111581,145580,195161
49647,55113,102147,541,107303,107310,107556,110416,7894,7894,195162
49648,55113,102148,3881,107303,107310,107570,110825,32,32,195163
49649,55114,102149,396,107303,107310,107589,120557,111581,111581,195164
49650,55114,102150,1231,107303,107310,107551,112493,10521,10521,195165
49651,55114,102151,497,107303,107310,107578,135325,47613,47613,195166
49652,55116,102152,39,107303,107310,107558,114177,111581,145581,195167
49653,55113,102153,808,107303,107310,107578,110394,47655,47655,195168
49654,55113,102154,1055,107303,107310,107568,125471,33507,33507,195169
49655,55114,102155,587,107303,107310,107578,110499,8017,8017,195170
49656,55113,102156,689,107303,107310,107587,123587,23405,23405,195171
49657,55114,102157,942,107303,107310,107552,127707,138622,138622,195172
49658,55115,102158,46,107303,107310,107549,110622,111581,111581,195173
49659,55114,102159,1168,107303,107310,107554,129737,3878,3878,195174
49660,55114,102160,2785,107303,107310,107590,113018,35977,35977,195175
49661,55113,102161,1057,107303,107310,107574,111539,37351,37351,195176
49662,55113,102162,3403,107303,107310,107557,112470,2752,2752,195177
49663,55115,62321,334,107303,107310,107591,129160,111581,111581,195178
49664,55114,58391,841,107303,107310,107554,110641,1356,1356,195179
49665,55113,102163,44,107303,107310,107565,112469,1630,1630,195180
49666,55114,102164,3271,107303,107310,107551,111492,10547,10547,195181
49667,55115,102165,1182,107303,107310,107551,112754,111581,111581,195182
49668,55113,102166,119,107303,107310,107558,111645,6064,6064,195183
49669,55113,102167,1115,107303,107310,107568,125733,33489,33489,195184
49670,55113,102168,1432,107303,107310,107574,114265,9696,9696,195185
49671,55116,102169,3748,107303,107310,107557,135326,111581,145582,195186
49672,55114,102170,1076,107303,107310,107569,111656,34092,34092,195187
49673,55113,102171,795,107303,107310,107567,126165,8323,8323,195188
49674,55114,102172,4445,107303,107310,107580,113897,50246,50246,195189
49675,55114,102173,1212,107303,107310,107554,111129,3928,3928,195190
49676,55114,102174,894,107303,107310,107583,112365,5917,5917,195191
49677,55114,102175,981,107303,107310,107550,111223,1271,1271,195192
49678,55114,102176,1194,107303,107310,107559,135327,21774,21774,195193
49679,55114,102177,244,107303,107310,107573,135328,1592,1592,195194
49680,55113,102178,1213,107303,107310,107568,125812,33497,33497,195195
49681,55113,102179,336,107303,107310,107591,118509,36087,36087,195196
49682,55116,102180,1240,107303,107310,107568,113757,3276,3276,195197
49683,55113,102181,84,107303,107310,107594,114224,3293,3293,195198
49684,55113,102182,686,107303,107310,107578,111585,47662,47662,195199
49685,55114,102183,1313,107303,107310,107587,120627,111581,145583,195200
49686,55114,102184,323,107303,107310,107555,135329,111581,111581,195201
49687,55114,89489,2328,107303,107310,107590,135330,35963,35963,195202
49688,55114,102185,834,107303,107310,107583,129991,51998,51998,195203
49689,55113,102186,1038,107303,107310,107568,110458,7405,7405,195204
49690,55114,64870,940,107303,107310,107554,112018,37679,37679,195205
